run_id,wind_regime,qsat,q0ratio,qshift_ratio,lambda2_mean,lambda2_std,outflux_mode,dt,n_steps_run,n_dunes_final,mean_width_final,std_width_final,mean_asymmetry_final,calving_count,collision_count,merging_count,exchange_count,fragmentation_count,calving_rate,seed
run_7444e463,unimodal,120.0,0.0,0.0,1.8,0.25,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_045dea54,unimodal,120.0,0.0,0.0,1.8,0.25,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_28f7b040,unimodal,120.0,0.0,0.0,1.8,0.5,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_4c33b790,unimodal,120.0,0.0,0.0,1.8,0.5,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_0115787d,unimodal,120.0,0.0,0.1,1.8,0.0,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_9f9e4ff6,unimodal,120.0,0.0,0.1,1.8,0.0,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_7ff055a8,unimodal,120.0,0.0,0.1,1.8,0.25,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_313db558,unimodal,120.0,0.0,0.1,1.8,0.25,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_75516707,unimodal,120.0,0.0,0.1,1.8,0.5,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_02290090,unimodal,120.0,0.0,0.1,1.8,0.5,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_d26f1839,unimodal,120.0,0.0,0.15,1.8,0.0,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_f7cc6c2b,unimodal,120.0,0.0,0.15,1.8,0.0,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_f87c95e2,unimodal,120.0,0.0,0.15,1.8,0.25,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_4eec51b7,unimodal,120.0,0.0,0.15,1.8,0.25,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_18112138,unimodal,120.0,0.0,0.15,1.8,0.5,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_bab49d29,unimodal,120.0,0.0,0.15,1.8,0.5,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
